Geneid	CeACtrl	CeAMor	dStrCtrl	dStrMor	NAcCtrl	NAcMor
Gm31465	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0
Gm39615	0	0	0	0	0	0
Gm31581	0	0	0	0	0	0
Phf3	605	516	498	447	523	485
Ptp4a1	116	147	91	98	124	79
Gm28644	0	0	0	0	0	0
Gm29669	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0
Khdrbs2	37	76	29	19	81	75
Gm9839	0	0	2	1	1	5
Gm5415	2	5	4	24	19	10
LOC108167822	0	0	1	0	0	0
Gm39616	0	0	0	0	0	0
Gm39617	0	0	0	0	0	0
Prim2	11	23	19	25	37	20
Gm39618	10	4	6	5	6	13
1700001G17Rik	6	1	6	7	2	0
Gm32229	1	0	1	0	0	0
Rab23	87	58	64	67	93	75
Bag2	9	14	4	5	2	6
Zfp451	183	240	234	236	273	221
Gm15455	1	0	0	1	0	1
Bend6	153	158	105	127	92	93
Gm38471	8	3	3	7	0	0
Dst	1926	1881	2349	1971	2006	1551
Mir6896	0	0	1	0	0	0
LOC108167617	0	2	1	3	7	7
Mir5103	4	3	0	0	0	0
Ccdc115	23	45	35	17	24	13
Imp4	30	30	31	32	40	42
Gm32504	0	1	0	0	0	0
Ptpn18	4	0	0	1	0	0
Gm32566	0	0	0	0	0	0
4930568A12Rik	0	0	0	0	0	0
Prss39	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0
Prss40	0	0	0	0	0	0
Amer3	116	86	91	46	65	77
AA619741	0	0	0	0	0	0
Gm38647	0	0	0	0	0	0
Gm32920	0	0	0	0	0	0
LOC108167618	20	30	42	70	58	24
Gm32790	3	5	12	22	17	22
Arhgef4	110	132	146	128	152	174
Fam168b	340	381	289	243	290	270
Plekhb2	533	536	422	369	411	419
1110002O04Rik	0	2	17	0	3	1
Gm33176	0	0	0	0	0	0
Gm39622	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0
Gm39623	0	0	0	0	0	0
Gm39624	0	0	0	0	0	0
Hs6st1	72	69	80	52	53	93
Gm33280	0	3	7	0	0	0
Uggt1	347	363	292	272	277	251
Mir6897	0	0	0	0	0	0
Gm39625	0	0	0	0	0	2
Neurl3	0	0	0	0	0	0
Arid5a	9	6	2	2	9	1
Kansl3	133	102	111	93	112	115
Mir6898	0	0	0	0	0	0
Fer1l5	31	24	28	9	13	9
Lman2l	80	91	93	106	98	98
Gm33401	0	0	0	0	0	0
Gm33454	0	0	0	0	0	0
Cnnm4	47	51	31	27	55	75
Cnnm3	77	43	56	22	90	64
Ankrd23	7	11	13	10	8	7
Ankrd39	9	7	8	21	21	12
Sema4c	31	18	14	19	17	10
Fam178b	0	0	0	0	0	0
Cox5b	104	109	102	73	118	107
Actr1b	173	143	86	53	88	124
4933424G06Rik	4	0	0	1	0	1
Gm33533	11	12	7	4	6	17
Zap70	0	4	0	0	0	0
Tmem131	482	434	325	333	494	393
Vwa3b	5	4	4	2	2	1
Gm39626	0	0	0	0	0	0
Gm37020	1	0	3	0	1	0
Cnga3	0	0	1	1	0	0
Inpp4a	655	769	737	660	698	536
4930439A04Rik	9	6	23	8	4	9
Coa5	139	136	144	129	174	206
Unc50	80	66	74	52	97	63
Mgat4a	302	349	294	210	284	272
4930594C11Rik	18	16	30	43	26	4
Gm39627	0	0	3	0	2	0
2010300C02Rik	360	355	477	443	337	348
LOC102637491	12	8	8	17	8	9
LOC102637336	7	32	54	63	25	25
Gm39628	18	27	99	75	53	26
Tsga10	92	65	97	74	122	65
Lipt1	45	24	26	12	32	34
Mitd1	32	10	24	23	23	9
Mrpl30	109	74	65	84	54	55
Lyg2	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0
Txndc9	152	128	128	105	156	118
Eif5b	420	418	323	313	341	298
Gm34448	3	5	1	1	11	0
Rev1	113	98	159	129	178	115
Gm5099	0	0	1	0	0	0
Aff3	143	199	433	351	209	136
Gm16150	17	14	108	64	43	29
LOC108167619	4	30	170	177	36	59
Gm34596	0	0	0	0	0	0
Lonrf2	868	959	485	395	759	733
Chst10	173	157	113	127	154	182
Nms	0	0	0	2	0	1
Gm35171	0	0	0	0	0	0
Pdcl3	48	51	58	24	58	36
Gm35222	0	0	0	0	0	0
Mir6349	0	0	0	0	0	0
Npas2	191	208	373	369	297	249
Rpl31	116	100	110	97	69	105
Tbc1d8	99	128	347	311	145	128
Cnot11	125	88	91	84	114	61
Snord89	43	50	31	7	33	24
Rnf149	155	96	145	106	144	112
Creg2	228	286	164	152	250	213
D930019O06Rik	5	4	10	0	0	1
Rfx8	0	0	0	0	0	0
Gm3646	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Gm35600	0	0	0	0	0	0
Map4k4	149	170	174	168	256	178
Gm16894	6	8	10	15	20	29
Il1r2	5	6	14	7	16	9
Gm35741	0	0	0	0	0	0
Il1r1	2	0	0	1	0	0
Il1rl2	1	8	0	0	6	0
Il1rl1	0	3	0	0	0	0
Il18r1	0	0	0	0	0	0
Il18rap	0	0	0	0	0	0
Gm35801	0	0	0	0	0	0
Slc9a4	0	8	0	2	0	0
Slc9a2	17	15	18	16	23	4
Gm37915	0	2	3	2	4	0
Mfsd9	5	7	10	6	11	11
Tmem182	0	0	0	0	0	0
4930448I06Rik	0	0	0	0	0	0
Gm39631	0	0	0	0	0	0
Gm35935	0	0	0	0	0	0
Gm29260	0	0	0	3	5	0
Gm28175	4	1	18	11	7	5
LOC108167620	0	0	0	0	0	0
Gm36678	0	0	0	5	0	0
LOC108167621	0	0	0	0	0	0
Gm36822	0	0	2	0	0	0
Gm30248	9	7	18	28	15	10
Pantr1	19	6	54	30	24	23
Gm42411	65	35	29	67	35	29
Pou3f3	41	72	77	107	90	112
2900092D14Rik	50	24	102	73	96	79
Pantr2	0	5	2	7	1	2
LOC108167622	13	1	3	9	17	10
Dalir	1	2	9	4	1	3
LOC108167623	0	0	0	0	0	0
Mrps9	84	53	80	53	56	56
Gm39633	0	0	0	0	0	6
Gpr45	41	20	16	20	27	35
Tgfbrap1	64	82	92	112	99	75
Gm28782	1	3	3	2	9	17
LOC108167597	6	8	2	13	9	5
AI597479	60	71	126	53	75	96
Fhl2	6	12	19	12	14	9
Gm8210	0	0	0	0	0	0
Gm29040	0	0	0	0	0	0
Nck2	9	29	22	36	20	25
Gm38628	0	0	0	0	0	0
Gm30634	0	0	0	0	0	0
1500015O10Rik	0	7	4	11	2	2
Uxs1	132	118	141	146	147	117
LOC102632770	4	8	1	1	7	2
Tpp2	375	303	333	212	300	251
Mettl21c	5	4	14	4	7	30
Ccdc168	0	3	0	1	7	6
Tex30	7	15	41	4	17	7
Kdelc1	24	22	33	18	23	18
Bivm	69	91	118	64	92	76
Ercc5	69	89	104	77	79	72
Mettl21e	0	0	2	0	1	0
Gm28893	0	0	0	0	0	0
Gm39635	0	0	0	0	0	0
Gulp1	32	30	39	24	59	65
4930521E06Rik	6	0	5	2	15	5
Col3a1	0	0	0	1	0	0
Col5a2	0	0	0	0	0	3
Gm39637	0	0	0	0	0	0
Wdr75	160	130	116	112	157	131
Gm30900	2	0	5	3	7	9
Slc40a1	4	1	3	4	6	12
Stk-ps2	0	0	0	0	0	0
Dnah7b	19	1	12	10	32	13
Gm31046	0	3	0	0	0	0
Dnah7c	7	29	7	4	10	18
Slc39a10	989	737	702	467	829	494
Gm39638	0	0	0	0	0	0
Gm39639	0	0	0	0	0	0
Mir6350	0	0	4	0	0	0
C230029F24Rik	0	0	0	0	0	0
Gm39640	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0
LOC108167624	0	0	0	0	0	0
Tmeff2	283	257	143	165	302	262
9330175M20Rik	1	5	6	3	2	11
Sdpr	17	2	11	1	6	6
Nabp1	65	66	43	49	98	67
Gm17767	1	4	0	0	1	0
Gm31636	0	0	0	0	0	0
Myo1b	168	71	331	317	117	119
Gm33795	9	0	16	16	4	3
Stat4	4	3	13	0	0	0
Gm31812	0	3	3	0	2	0
Stat1	62	65	35	30	65	62
Gls	950	866	1456	1102	1390	809
Gm31867	0	0	0	0	0	0
Gm31955	0	0	0	0	0	0
Nab1	70	77	72	46	85	45
Gm553	7	0	7	2	1	0
Tmem194b	15	8	22	9	24	26
Gm28178	0	0	0	0	0	0
Mfsd6	275	274	234	128	262	202
Inpp1	87	79	82	81	115	109
Hibch	12	25	20	14	34	25
1700019D03Rik	5	0	24	17	43	16
Mstn	3	1	0	0	2	2
1700019A02Rik	3	1	21	0	10	8
Pms1	28	29	50	38	30	23
Ormdl1	14	8	25	13	34	17
Osgepl1	62	45	93	41	57	31
Asnsd1	62	54	36	23	47	28
Dnah7a	6	0	3	1	3	3
Gm32311	2	5	1	0	4	1
Stk17b	10	7	20	5	10	7
Hecw2	163	227	437	393	351	216
Mir7681	0	0	2	1	4	2
Ccdc150	0	3	6	13	7	6
Gtf3c3	173	198	222	165	224	260
Gm34066	0	7	0	0	0	0
LOC108167366	0	0	0	0	0	0
Pgap1	1147	963	334	321	734	615
Ankrd44	21	24	16	17	32	27
4930444A19Rik	3	2	0	0	5	1
Sf3b1	1318	1078	1353	1348	1442	1086
Coq10b	91	28	58	48	35	60
Hspd1	409	271	213	189	294	278
Hspe1	88	106	62	49	77	74
Mob4	207	243	213	167	231	225
Rftn2	21	24	36	33	34	6
Gm10561	3	3	8	0	0	0
Mars2	72	77	28	59	40	58
Boll	0	0	2	0	0	3
LOC108167625	0	0	0	0	0	0
Plcl1	156	99	96	60	131	141
Gm6644	0	4	0	2	0	0
Gm39642	4	4	27	7	18	6
Gm32949	0	0	0	0	0	0
9130227L01Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	12	0	14	4	0	0
9130024F11Rik	0	0	0	7	0	0
Gm38484	0	0	4	0	0	1
LOC105243927	0	0	0	0	0	0
BC055402	0	0	0	0	0	0
4930558J18Rik	0	0	0	0	0	0
1700066M21Rik	88	88	69	82	133	82
Tyw5	39	32	56	60	33	18
9430016H08Rik	23	48	43	42	70	49
Spats2l	105	126	73	76	78	79
Kctd18	45	34	80	53	55	43
Sgol2a	0	8	9	2	10	1
Aox1	2	0	0	4	1	2
Aox3	0	0	0	0	1	0
Gm39643	0	0	0	0	0	0
Aox4	0	5	4	0	1	0
Aox2	0	4	0	0	3	0
Gm15759	0	0	0	0	0	0
Bzw1	346	254	346	298	351	256
Clk1	328	432	625	643	603	477
Ppil3	37	27	50	31	44	72
Nif3l1	9	32	24	24	24	38
Orc2	115	104	88	76	73	119
Gm15834	102	72	93	72	136	90
Fam126b	837	736	665	522	853	628
Ndufb3	48	74	41	49	49	49
Gm20257	5	3	9	3	1	6
Als2cr12	18	4	4	1	22	10
Cflar	25	7	20	6	4	29
Gm39646	0	0	0	0	0	0
Casp8	5	0	1	0	0	0
Gm28802	0	0	2	2	0	0
Trak2	176	204	312	208	198	193
Stradb	54	59	28	51	60	60
Als2cr11b	1	2	6	3	4	0
Gm29018	0	0	0	0	0	0
Als2cr11	0	0	0	0	0	0
Tmem237	80	82	56	34	81	50
Mpp4	9	5	6	7	9	7
Als2	72	96	60	70	104	76
Gm33667	0	0	0	0	0	0
Cdk15	0	0	0	0	0	0
Gm33724	0	0	0	0	0	0
Gm33774	0	0	0	0	0	0
Fzd7	0	13	13	2	10	10
Gm973	6	6	22	10	13	19
Gm39649	0	0	0	0	0	0
Gm28411	0	0	0	0	0	0
Gm39648	0	2	0	0	0	0
Gm33833	3	0	4	0	0	0
Sumo1	151	143	98	85	132	153
Nop58	247	202	106	115	183	130
Snord70	15	5	6	5	2	0
Snord11	7	5	3	5	12	2
Bmpr2	2176	2095	1435	1266	1967	1528
Fam117b	335	333	216	175	312	322
Ica1l	130	115	185	122	158	112
Wdr12	71	114	107	62	124	60
Carf	141	104	211	128	137	130
Nbeal1	209	267	410	380	424	275
Cyp20a1	12	3	7	5	14	3
Abi2	1554	1567	1489	1204	1678	1087
Raph1	237	245	280	256	284	215
LOC102637269	0	0	2	3	0	0
Gm11578	0	0	0	0	1	0
Gm38388	3	0	0	0	0	0
Cd28	0	2	0	0	1	0
2310016D23Rik	0	0	0	0	0	0
Gm38137	0	0	3	3	1	1
Gm39650	0	0	0	0	0	0
Ctla4	0	0	0	0	0	0
Gm34649	7	0	0	0	0	1
Icos	0	0	0	0	0	0
LOC105243939	0	0	0	0	0	0
9530026F06Rik	0	0	0	0	0	0
Pard3b	25	33	11	4	1	10
Pard3bos1	5	4	1	7	5	7
Pard3bos2	0	0	0	2	0	7
Gm34881	0	0	0	0	0	0
Nrp2	116	108	21	23	157	119
Gm29083	11	15	10	4	4	14
4930487H11Rik	2	2	0	0	4	4
Gm4208	0	3	0	4	1	4
Gm35120	0	0	0	0	0	0
Gm39652	0	0	0	0	1	0
Gm35252	0	0	7	0	0	0
Gm38513	0	0	0	0	0	0
Ino80d	291	288	422	308	271	308
Ino80dos	22	27	34	29	28	23
Ndufs1	255	203	212	222	279	207
Eef1b2	248	235	148	77	92	165
Snora41	21	14	3	2	8	0
Gpr1	4	4	1	7	7	15
Zdbf2	2324	2207	600	719	1584	1278
1700039I01Rik	0	1	0	0	3	0
Gm11608	2	1	0	0	1	0
Gm35393	0	0	0	0	0	0
Adam23	909	1113	1212	915	913	835
Gm39653	0	0	0	0	0	1
Dytn	0	1	0	0	0	5
Mdh1b	5	0	1	2	1	0
Fastkd2	51	82	71	41	90	57
4933402D24Rik	0	11	0	5	13	3
Cpo	0	0	0	0	0	0
Gm13749	0	4	0	0	0	0
Klf7	185	144	188	144	183	176
Mir6899	0	0	0	0	0	0
Gm35880	0	0	0	0	0	0
Gm39654	0	0	0	0	0	0
Gm35803	0	0	0	0	0	0
Gm36148	2	11	27	9	21	7
Creb1	375	322	253	183	309	345
Mettl21a	46	58	41	35	61	22
Gm29152	0	0	1	1	0	0
2810408I11Rik	0	0	0	2	0	0
Ccnyl1	35	53	98	75	63	59
Fzd5	22	18	28	8	25	9
Plekhm3	169	156	196	153	221	196
Akr1cl	0	0	0	0	0	0
Cryge	0	0	0	0	0	0
Crygd	0	0	0	0	0	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	0	0	0
D630023F18Rik	13	16	0	2	10	6
Gm36358	0	6	0	0	8	9
Idh1	46	53	27	33	37	27
Pikfyve	366	289	364	315	385	311
Pth2r	24	9	8	20	12	12
Crygf	0	0	0	0	0	0
Map2	3642	3250	2576	2404	3086	2509
Unc80	1070	1012	1173	937	1069	887
Gm39655	0	1	0	0	0	0
Rpe	39	72	89	100	74	81
Kansl1l	167	170	351	274	255	212
LOC108167626	81	107	217	182	105	122
Gm39656	17	29	44	38	16	21
Acadl	39	18	40	27	21	29
Myl1	0	0	0	0	0	0
Lancl1	264	275	239	239	234	269
Cps1	0	0	0	0	0	0
Gm39658	0	0	0	0	0	0
Gm15669	0	0	0	0	0	0
Erbb4	1465	1241	760	567	1378	1235
Gm28497	0	0	3	0	0	0
Ikzf2	48	33	25	6	37	38
Gm29822	0	0	0	0	0	6
Spag16	0	0	0	1	0	2
Vwc2l	166	107	98	54	136	136
Gm29906	4	20	6	8	1	1
Bard1	16	31	25	5	21	8
Abca12	1	4	1	0	8	2
Gm39659	0	0	0	0	0	0
Atic	63	58	23	41	45	47
Fn1	1	13	11	11	4	0
Apol7d	0	0	0	0	0	0
LOC108167627	0	0	0	0	0	0
Gm39660	0	0	0	0	0	0
Gm30160	0	0	0	0	0	0
Gm30308	0	0	0	0	0	0
LOC108167354	0	0	0	0	0	0
Gm8883	0	0	0	0	0	0
Gm28818	0	0	0	0	0	0
4933417E11Rik	0	0	0	0	0	0
Gm4319	0	0	1	0	0	0
Mreg	0	0	1	0	9	3
D230017M19Rik	28	41	46	59	67	41
Pecr	15	17	1	9	11	6
Tmem169	32	41	25	14	45	42
Xrcc5	64	46	52	42	56	49
Gm39661	2	1	0	0	3	1
March4	131	90	128	96	126	97
Smarcal1	193	229	195	168	270	223
Gm39662	0	3	0	0	5	4
Ankar	4	0	0	0	0	2
Rpl37a	99	114	74	67	113	117
Gm39663	0	0	0	0	0	0
Gm30788	0	0	0	0	0	0
Gm30847	0	0	0	0	0	0
Igfbp2	5	8	2	1	2	2
Igfbp5	147	81	144	111	101	60
Gm31047	0	0	0	0	0	0
Gm31137	0	0	0	0	0	0
Tnp1	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
Gm31254	0	0	0	0	0	0
Gm29185	0	0	0	0	0	0
Gm31197	0	0	0	0	0	0
Gm31344	0	0	0	0	0	0
Pinc	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0
LOC102633705	0	0	0	0	0	0
6030407O03Rik	0	0	2	0	0	0
Gm29183	0	0	0	0	0	0
Mir6351	0	0	0	0	0	0
Tns1	26	38	81	38	33	48
Gm39664	0	0	7	3	2	0
Gm31637	0	0	0	0	0	0
Rufy4	3	0	0	0	0	0
Cxcr2	0	0	0	0	0	0
Cxcr1	0	0	0	0	0	0
Mir1928	0	0	0	0	0	0
Gm31691	0	0	0	0	0	0
Arpc2	421	351	358	329	283	264
Gpbar1	4	3	0	0	0	0
Aamp	76	88	71	31	54	57
LOC108167628	0	0	0	0	2	0
Pnkd	165	130	98	114	161	169
Tmbim1	19	25	39	24	23	13
Catip	0	0	2	0	0	3
Slc11a1	1	1	0	2	0	0
Ctdsp1	4	8	10	4	22	3
Mir26b	0	0	0	0	1	0
Vil1	0	4	0	3	2	1
Usp37	181	210	142	175	200	175
Cnot9	54	95	63	56	89	57
Plcd4	9	6	9	29	7	15
Zfp142	101	141	118	111	97	120
Bcs1l	49	25	45	23	44	32
Rnf25	70	57	38	44	54	45
Stk36	7	6	2	3	10	10
Ttll4	22	45	91	83	58	56
Cyp27a1	0	0	0	1	0	0
Prkag3	0	0	0	0	0	0
Wnt6	0	0	0	0	0	1
Gm29539	0	0	0	0	0	0
Gm32099	0	0	0	0	0	0
Wnt10a	1	2	0	0	8	0
Gm32275	11	5	9	7	18	18
Gm16582	1	0	12	1	3	0
Cdk5r2	111	87	158	164	142	147
Fev	0	0	0	0	0	0
Cryba2	0	0	0	0	0	0
Mir375	0	0	0	0	0	0
Ccdc108	9	11	2	5	4	14
Ihh	0	0	0	0	0	5
Nhej1	0	1	2	13	10	0
Slc23a3	4	1	0	1	0	0
Cnppd1	38	47	18	35	43	21
Fam134a	255	222	197	108	193	211
Zfand2b	4	7	7	15	14	6
Abcb6	39	45	12	11	16	40
Atg9a	288	201	214	153	223	229
Ankzf1	23	36	6	23	26	15
Glb1l	7	8	1	9	8	5
Stk16	34	46	44	21	37	30
Tuba4a	314	230	252	199	208	209
A630095N17Rik	0	0	3	0	1	1
Dnajb2	38	25	35	17	33	36
Ptprn	1102	1192	705	495	849	902
Resp18	194	200	27	41	110	93
Dnpep	22	27	46	26	43	61
Des	0	0	0	2	2	0
Gm15179	0	0	0	0	0	0
Speg	119	155	302	220	172	215
Gmppa	28	31	18	20	32	20
Asic4	60	40	102	68	66	86
Gm32506	0	0	10	10	10	0
Chpf	208	141	111	86	149	172
Tmem198	77	52	50	56	36	58
Obsl1	25	27	17	32	40	31
Inha	4	39	42	31	38	35
Stk11ip	47	32	37	11	38	24
Slc4a3	130	116	219	121	218	235
Gm32622	0	0	0	0	0	0
Gm29065	0	0	0	0	0	0
Gm32737	0	0	0	2	0	0
Gm17751	0	0	0	0	0	0
Mir6343	0	0	0	0	0	0
Epha4	1073	1062	779	593	811	779
Mir6352	0	0	8	1	1	1
Gm32793	4	16	1	4	0	0
Gm32974	3	3	0	0	6	1
Gm33083	0	0	0	0	1	0
Gm33030	0	0	0	0	0	0
Pax3	0	0	0	0	0	0
Gm33152	0	0	0	0	0	0
Gm2102	0	0	1	0	0	0
Sgpp2	31	15	57	43	25	58
Farsb	231	169	156	109	181	105
Mogat1	0	0	0	0	1	1
Gm39665	0	0	0	0	0	0
LOC108167629	0	0	0	0	0	0
Utp14b	78	66	86	106	91	54
Acsl3	631	547	336	234	534	436
Gm38631	0	3	3	0	0	5
Gm33693	0	0	0	0	0	0
Gm29536	0	0	0	0	0	0
Kcne4	0	0	0	0	0	0
Scg2	1938	1860	995	706	2051	1596
Ap1s3	11	6	0	6	16	3
Wdfy1	95	80	167	119	102	84
Mrpl44	15	28	24	4	19	38
Gm39666	9	11	70	55	29	9
Serpine2	286	302	551	414	294	315
Gm33970	0	0	0	0	0	0
Fam124b	0	0	0	0	0	0
LOC108167342	0	0	0	0	0	0
2310015K22Rik	0	0	3	0	0	0
Gm34098	0	0	0	2	2	0
Cul3	786	721	674	558	742	536
Gm39667	25	20	66	22	29	30
Gm38673	0	0	3	3	0	0
1700016L21Rik	0	0	0	0	0	0
Dock10	1139	1068	449	426	535	500
Nyap2	558	466	427	404	421	326
Mir6344	0	0	0	0	0	0
Irs1	62	77	54	55	105	58
Rhbdd1	4	8	7	1	8	12
LOC108167630	0	2	0	3	6	0
Col4a4	0	0	0	1	7	4
Col4a3	2	0	0	1	0	7
LOC105243964	18	31	42	34	17	26
Mff	375	324	289	278	319	233
Gm39668	58	22	66	48	63	63
Tm4sf20	7	7	1	8	22	1
Gm34286	0	0	0	0	0	0
Gm17764	0	0	0	0	0	0
Gm34450	0	0	0	0	0	0
LOC108167631	0	0	0	0	0	0
Agfg1	393	344	377	300	337	274
Slc19a3	0	0	3	3	7	0
Krtap28-13	0	0	0	0	0	0
Ccl20	0	0	0	0	0	0
Daw1	0	0	0	0	0	0
Sphkap	751	631	187	180	519	460
Pid1	89	70	34	30	101	86
Mir6353	0	1	0	0	0	0
Dner	381	348	185	121	449	480
Mir5126	0	0	0	0	0	0
Trip12	1351	1357	1049	910	1184	963
Fbxo36	0	2	3	4	7	2
Slc16a14	18	8	26	14	29	17
