# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-O" "-T" "12" "-g" "gene_id" "--ignoreDup" "-a" "/grid/li/data/Leo/RNA-seq/reference_genome/mm10.ncbiRefSeq.gtf" "-o" "AllSamples_featureCounts_output.txt" "CeACtrlAligned.sortedByCoord.rmdup.bam" "CeAMorAligned.sortedByCoord.rmdup.bam" "NAcCtrlAligned.sortedByCoord.rmdup.bam" "NAcMorAligned.sortedByCoord.rmdup.bam" "dStrCtrlAligned.sortedByCoord.rmdup.bam" "dStrMorAligned.sortedByCoord.rmdup.bam" 
Geneid	CeACtrlAligned.sortedByCoord.rmdup.bam	CeAMorAligned.sortedByCoord.rmdup.bam	NAcCtrlAligned.sortedByCoord.rmdup.bam	NAcMorAligned.sortedByCoord.rmdup.bam	dStrCtrlAligned.sortedByCoord.rmdup.bam	dStrMorAligned.sortedByCoord.rmdup.bam
Lactb2	15	21	24	10	17	6
Xkr9	0	0	0	0	0	0
Gm5523	0	1	0	0	1	0
Gm31195	0	0	0	0	0	0
Gm39596	0	0	0	0	0	0
Eya1	7	7	7	2	10	10
Msc	0	0	0	0	0	0
LOC105243866	0	5	2	2	0	1
Trpa1	0	0	0	0	0	0
Kcnb2	42	57	77	67	51	51
Terf1	20	34	53	21	34	45
Sbspon	8	8	7	7	16	2
Gm31523	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0
4930444P10Rik	0	1	2	1	0	1
Rpl7	101	130	124	123	79	80
Rdh10	9	22	29	23	13	18
Stau2	117	148	142	111	131	130
LOC102634042	0	1	0	2	1	2
Ube2w	99	124	121	117	123	106
LOC108167614	18	32	46	30	48	54
Tceb1	75	57	91	73	80	68
D030040B21Rik	0	0	0	0	0	1
Tmem70	32	33	33	34	24	19
Ly96	1	2	0	0	0	1
Jph1	24	36	28	21	32	39
LOC108167615	2	3	5	1	5	6
Gm31982	0	1	1	0	1	2
Gm28783	3	7	2	4	0	4
Gdap1	111	146	160	105	142	99
Gm28784	0	0	4	3	4	4
Gm39597	0	0	0	0	0	0
Pi15	0	2	0	0	1	2
Gm28154	0	0	3	0	1	1
Gm16070	1	1	0	0	4	2
Crispld1	5	10	9	9	33	17
Gm28153	0	1	0	1	3	1
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0
Tfap2d	1	0	0	0	0	0
Tfap2b	0	0	0	0	0	0
Gm32651	0	0	0	0	0	0
Pkhd1	0	0	0	0	1	0
4930486I03Rik	0	0	0	0	0	0
Linc-md1	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	0	0	0
Il17f	0	0	0	0	0	0
Mcm3	2	1	2	1	0	2
6720483E21Rik	0	0	0	0	0	0
Paqr8	39	63	63	57	81	77
Efhc1	3	1	1	4	0	0
Tram2	0	1	1	0	0	0
Tmem14a	8	21	26	15	25	12
Gm32947	0	1	2	0	1	4
Gm28836	0	0	2	0	1	1
Gsta3	0	3	4	3	3	5
Gm4956	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0
Gm33147	0	0	0	0	0	0
Khdc1b	1	1	0	0	0	0
Kcnq5	168	235	347	228	258	236
Rims1	88	111	137	113	151	181
Gm7759	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0
Gm30442	0	0	0	0	1	0
Gm29506	0	0	0	0	0	0
Mir30a	1	0	2	0	4	1
Mir30c-2	1	0	2	1	3	2
Ogfrl1	126	130	187	122	153	155
Gm19673	0	0	0	0	0	0
Gm28822	0	0	0	0	0	0
B3gat2	26	32	41	44	36	42
Smap1	74	78	77	71	72	89
Gm26524	0	0	0	0	0	1
Sdhaf4	11	9	14	11	5	8
Fam135a	63	74	101	50	105	92
Col9a1	0	0	0	0	0	0
Col19a1	5	4	6	4	30	26
Lmbrd1	185	176	292	194	229	188
Gm29414	0	0	0	0	0	0
Adgrb3	413	506	583	413	495	429
Gm20172	6	1	4	2	4	10
LOC108167844	7	16	18	14	14	12
Gm39614	0	0	0	0	0	0
Gm31076	0	0	0	0	0	0
Gm31136	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0
Gm7846	0	0	1	0	0	0
Gm597	0	0	0	0	0	0
LOC108167331	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0
Gm31465	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0
Gm39615	0	0	0	0	0	0
Gm31581	0	0	0	0	0	0
Phf3	217	238	260	189	215	228
Ptp4a1	49	62	67	37	44	48
Gm28644	0	0	0	0	0	0
Gm29669	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0
Khdrbs2	17	32	39	30	15	13
Gm9839	0	0	2	1	2	1
Gm5415	1	4	12	6	4	15
LOC108167822	0	0	0	0	1	0
Gm39616	0	0	0	0	0	0
Gm39617	0	0	0	0	0	0
Prim2	5	10	17	11	8	15
Gm39618	3	3	4	2	3	3
1700001G17Rik	2	1	1	0	1	1
Gm32229	1	1	0	0	1	1
Rab23	44	34	44	33	31	34
Bag2	5	8	2	5	2	4
Zfp451	82	113	121	99	97	107
Gm15455	1	0	0	1	0	1
Bend6	58	71	44	46	49	49
Gm38471	1	1	0	0	2	3
Dst	724	905	1028	729	1140	1038
Mir6896	0	0	3	2	2	0
LOC108167617	16	18	28	12	18	22
Mir5103	2	1	0	0	0	0
Ccdc115	11	23	14	7	13	12
Imp4	13	13	23	17	12	19
Gm32504	0	1	0	0	0	0
Ptpn18	3	0	0	0	0	1
Gm32566	0	0	0	0	0	0
4930568A12Rik	0	0	0	0	0	0
Prss39	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0
Prss40	0	0	0	0	0	0
Amer3	43	44	37	43	42	26
AA619741	0	0	0	0	0	0
Gm38647	0	0	0	0	0	0
Gm32920	0	0	0	0	0	0
LOC108167618	12	12	33	9	20	31
Gm32790	2	3	7	10	7	16
Arhgef4	45	62	76	66	75	64
Fam168b	144	179	162	132	138	132
Plekhb2	186	245	210	187	170	179
1110002O04Rik	0	1	1	1	4	0
Gm33176	0	0	0	0	0	0
Gm39622	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0
Gm39623	0	0	0	0	0	0
Gm39624	0	0	0	0	0	0
Hs6st1	29	33	36	47	45	32
Gm33280	0	2	0	0	3	0
Uggt1	132	170	141	132	141	125
Mir6897	0	0	0	0	0	0
Gm39625	0	0	0	1	0	0
Neurl3	0	0	0	0	0	0
Arid5a	3	2	4	1	1	2
Kansl3	59	58	56	69	59	54
Mir6898	0	0	0	0	1	0
Fer1l5	13	13	12	8	12	8
Lman2l	39	49	62	56	49	55
Gm33401	0	0	0	0	0	0
Gm33454	0	0	0	0	0	0
Cnnm4	20	26	26	24	17	19
Cnnm3	27	22	44	33	35	14
Ankrd23	2	4	3	4	2	4
Ankrd39	5	5	10	4	5	5
Sema4c	17	8	11	8	6	7
Fam178b	0	0	0	0	0	0
Cox5b	45	62	69	52	55	38
Actr1b	59	73	57	69	41	35
4933424G06Rik	3	1	2	1	0	3
Gm33533	7	8	5	4	2	4
Zap70	0	1	0	0	0	0
Tmem131	184	215	254	183	160	164
Vwa3b	1	3	2	1	1	1
Gm39626	0	0	0	0	0	0
Gm37020	1	0	1	0	2	0
Cnga3	0	0	0	0	1	1
Inpp4a	236	339	357	265	353	360
4930439A04Rik	3	5	4	4	14	6
Coa5	51	55	67	75	61	66
Unc50	32	24	38	29	33	25
Mgat4a	101	156	125	114	126	109
4930594C11Rik	6	8	12	1	13	18
Gm39627	0	0	1	0	2	0
2010300C02Rik	162	219	211	174	254	278
LOC102637491	12	17	12	12	14	20
LOC102637336	3	13	11	9	20	34
Gm39628	8	14	27	19	47	35
Tsga10	21	29	53	24	47	34
Lipt1	16	16	17	13	11	6
Mitd1	12	7	11	5	11	10
Mrpl30	29	36	34	26	31	33
Lyg2	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0
Txndc9	49	65	68	51	56	50
Eif5b	174	211	198	169	177	186
Gm34448	1	3	4	0	1	1
Rev1	61	64	103	93	109	96
Gm5099	0	0	0	0	1	0
Aff3	66	95	112	64	201	192
Gm16150	8	7	17	13	44	34
LOC108167619	4	15	21	24	82	91
Gm34596	0	0	0	0	0	0
Lonrf2	308	408	387	316	237	192
Chst10	81	93	90	81	65	64
Nms	0	0	0	1	0	1
Gm35171	0	0	0	0	0	0
Pdcl3	15	21	25	16	23	14
Gm35222	0	0	0	0	0	0
Mir6349	0	0	0	0	0	0
Npas2	84	103	148	122	165	189
Rpl31	59	58	56	60	69	66
Tbc1d8	43	63	89	74	192	187
Cnot11	40	41	54	30	38	42
Snord89	23	24	27	16	21	6
Rnf149	57	48	67	50	57	55
Creg2	89	139	140	98	78	85
D930019O06Rik	6	8	7	5	8	7
Rfx8	0	0	0	0	0	0
Gm3646	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Gm35600	0	0	0	0	0	0
Map4k4	62	79	120	80	87	85
Gm16894	2	6	11	7	8	8
Il1r2	1	5	7	5	10	4
Gm35741	0	0	0	0	0	0
Il1r1	2	0	0	0	0	1
Il1rl2	1	3	2	0	0	0
Il1rl1	0	1	0	0	0	0
Il18r1	0	0	0	0	0	0
Il18rap	0	0	0	0	0	0
Gm35801	0	0	0	0	0	0
Slc9a4	0	1	0	0	0	1
Slc9a2	4	7	9	3	11	10
Gm37915	0	1	2	0	1	1
Mfsd9	3	4	7	6	5	3
Tmem182	0	0	0	0	0	0
4930448I06Rik	0	0	0	0	0	0
Gm39631	0	0	0	0	0	0
Gm35935	0	0	0	0	0	0
Gm29260	0	0	1	0	0	1
Gm28175	3	1	5	2	8	7
LOC108167620	0	0	0	0	0	0
Gm36678	0	0	0	0	0	1
LOC108167621	0	0	0	0	0	0
Gm36822	0	0	0	0	1	0
Gm30248	4	4	7	6	8	10
Pantr1	8	4	14	11	20	16
Gm42411	19	15	19	17	14	30
Pou3f3	13	34	55	52	46	61
2900092D14Rik	17	15	56	31	55	46
Pantr2	0	2	1	1	1	5
LOC108167622	5	1	9	5	2	4
Dalir	1	2	1	3	2	4
LOC108167623	0	0	0	0	0	0
Mrps9	27	25	30	31	29	26
Gm39633	0	0	0	1	0	0
Gpr45	15	13	15	16	11	9
Tgfbrap1	36	38	53	37	50	49
Gm28782	1	1	3	6	1	2
LOC108167597	3	3	6	4	2	2
AI597479	24	38	48	42	46	25
Fhl2	4	5	5	4	7	6
Gm8210	0	0	0	0	0	0
Gm29040	0	0	0	0	0	0
Nck2	5	15	13	12	11	18
Gm38628	0	0	0	0	0	0
Gm30634	0	0	0	0	0	0
1500015O10Rik	0	3	2	2	2	3
Uxs1	53	56	69	55	60	77
LOC102632770	4	7	7	2	1	1
Tpp2	129	122	143	104	148	114
Mettl21c	4	2	6	7	7	1
Ccdc168	0	1	3	2	0	1
Tex30	2	8	5	5	13	3
Kdelc1	6	12	14	9	16	13
Bivm	32	44	47	37	51	27
Ercc5	25	38	40	31	55	37
Mettl21e	0	0	1	0	1	0
Gm28893	0	0	0	0	0	0
Gm39635	0	0	0	1	0	0
Gulp1	14	12	31	27	19	13
4930521E06Rik	1	0	3	2	3	1
Col3a1	0	0	0	0	0	1
Col5a2	0	0	0	1	0	0
Gm39637	0	0	0	0	0	0
Wdr75	41	61	72	58	47	57
Gm30900	2	0	2	1	2	2
Slc40a1	1	1	1	2	2	1
Stk-ps2	0	0	0	0	0	0
Dnah7b	6	1	17	6	6	5
Gm31046	0	1	0	0	0	0
Dnah7c	4	9	9	9	6	4
Slc39a10	342	348	398	205	297	220
Gm39638	0	0	0	0	0	0
Gm39639	0	0	0	0	0	0
Mir6350	0	0	0	0	1	0
C230029F24Rik	0	0	0	0	0	0
Gm39640	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0
LOC108167624	0	0	0	0	0	0
Tmeff2	109	141	139	115	80	81
9330175M20Rik	1	4	1	3	2	2
Sdpr	5	3	3	4	5	1
Nabp1	28	32	39	30	19	21
Gm17767	1	2	1	0	0	0
Gm31636	0	0	0	0	0	0
Myo1b	46	40	64	50	166	150
Gm33795	4	0	3	3	12	9
Stat4	1	3	0	0	1	0
Gm31812	0	3	1	0	3	0
Stat1	21	31	32	25	16	21
Gls	309	388	611	355	571	515
Gm31867	0	0	0	0	0	0
Gm31955	0	0	0	0	0	0
Nab1	27	37	35	23	35	22
Gm553	2	0	1	0	1	1
Tmem194b	4	3	8	13	13	7
Gm28178	0	0	0	0	0	0
Mfsd6	117	133	131	92	115	70
Inpp1	36	41	55	47	39	39
Hibch	3	11	17	7	9	6
1700019D03Rik	3	0	21	9	7	11
Mstn	1	1	2	1	0	0
1700019A02Rik	1	1	4	4	4	0
Pms1	8	9	18	11	18	22
Ormdl1	9	5	13	10	9	6
Osgepl1	25	24	26	16	32	21
Asnsd1	23	24	23	13	15	12
Dnah7a	2	0	2	2	1	1
Gm32311	2	2	2	1	1	0
Stk17b	3	4	5	4	4	3
Hecw2	62	118	184	105	210	196
Mir7681	0	0	1	1	1	1
Ccdc150	0	3	6	2	3	7
Gtf3c3	75	92	104	91	96	74
Gm34066	0	1	0	0	0	0
LOC108167366	0	0	0	0	0	0
Pgap1	395	442	335	245	162	156
Ankrd44	6	16	16	9	8	9
4930444A19Rik	1	1	2	1	1	1
Sf3b1	463	532	680	464	589	660
Coq10b	19	14	18	24	22	24
Hspd1	164	138	152	110	99	104
Hspe1	39	47	27	32	27	29
Mob4	87	113	110	92	98	80
Rftn2	7	9	15	5	17	18
Gm10561	2	1	3	0	4	1
Mars2	22	26	17	20	15	31
Boll	0	0	0	2	2	0
LOC108167625	0	0	0	0	0	0
Plcl1	66	50	59	55	46	37
Gm6644	0	2	0	0	0	1
Gm39642	3	4	8	4	9	4
Gm32949	0	0	0	0	0	0
9130227L01Rik	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	4	0	0	0	7	3
9130024F11Rik	0	0	0	0	0	2
Gm38484	0	0	0	1	2	0
LOC105243927	0	0	0	0	0	0
BC055402	0	0	0	0	0	0
4930558J18Rik	0	0	0	0	0	0
1700066M21Rik	28	39	48	33	34	39
Tyw5	15	14	15	11	23	23
9430016H08Rik	10	21	34	23	18	19
Spats2l	40	60	45	37	35	39
Kctd18	16	21	28	17	28	23
Sgol2a	0	4	6	1	2	2
Aox1	2	0	1	2	0	3
Aox3	0	0	1	0	0	0
Gm39643	0	0	0	0	0	0
Aox4	0	1	1	0	1	0
Aox2	0	1	3	0	0	0
Gm15759	0	0	0	0	0	0
Bzw1	128	124	156	100	164	148
Clk1	112	168	276	198	266	305
Ppil3	20	18	20	27	21	15
Nif3l1	9	20	13	17	10	13
Orc2	41	42	36	40	40	34
Gm15834	33	34	72	36	39	35
Fam126b	289	322	377	282	298	248
Ndufb3	26	33	25	20	25	24
Gm20257	4	2	1	3	4	3
Als2cr12	4	2	10	5	2	1
Cflar	6	3	3	7	7	4
Gm39646	0	0	0	0	0	0
Casp8	1	0	0	0	1	0
Gm28802	0	0	0	0	1	1
Trak2	66	94	106	94	124	115
Stradb	24	25	36	25	17	25
Als2cr11b	3	6	5	1	5	3
Gm29018	0	0	0	0	0	0
Als2cr11	0	0	0	0	0	0
Tmem237	30	35	33	21	29	16
Mpp4	4	5	5	6	4	5
Als2	39	47	58	36	38	37
Gm33667	0	0	0	0	0	0
Cdk15	0	0	0	0	0	0
Gm33724	0	0	0	0	0	0
Gm33774	0	0	0	0	0	0
Fzd7	0	2	6	2	4	2
Gm973	3	4	5	7	10	6
Gm39649	0	0	0	0	0	0
Gm28411	0	0	0	0	0	0
Gm39648	0	1	0	0	0	0
Gm33833	1	0	0	0	2	0
Sumo1	43	60	55	48	37	41
Nop58	77	73	75	47	42	53
Snord70	11	5	1	0	5	3
Snord11	6	3	8	2	1	3
Bmpr2	761	934	920	682	647	617
Fam117b	124	158	150	147	99	95
Ica1l	47	56	68	45	80	61
Wdr12	32	53	58	36	53	32
Carf	48	49	73	56	105	71
Nbeal1	59	108	174	121	163	185
Cyp20a1	5	3	5	2	4	3
Abi2	555	713	750	495	700	579
Raph1	88	112	140	103	118	123
LOC102637269	0	0	0	0	1	1
Gm11578	0	0	1	0	0	0
Gm38388	1	0	0	0	0	0
Cd28	0	1	1	0	0	0
2310016D23Rik	0	0	0	0	0	0
Gm38137	0	0	1	1	2	3
Gm39650	0	0	0	0	0	0
Ctla4	0	0	0	0	0	0
Gm34649	2	0	0	1	0	0
Icos	0	0	0	0	0	0
LOC105243939	0	0	0	0	0	0
9530026F06Rik	0	0	0	0	0	0
Pard3b	15	15	1	6	2	3
Pard3bos1	2	3	3	3	1	3
Pard3bos2	0	0	0	1	0	1
Gm34881	0	0	0	0	0	0
Nrp2	50	54	87	55	13	12
Gm29083	4	8	4	4	2	3
4930487H11Rik	1	1	3	2	0	0
Gm4208	0	1	1	1	0	1
Gm35120	0	0	0	0	0	0
Gm39652	0	0	1	0	0	0
Gm35252	0	0	0	0	2	0
Gm38513	0	0	0	0	0	0
Ino80d	100	135	141	132	201	161
Ino80dos	22	37	36	30	39	46
Ndufs1	117	107	154	120	123	147
Eef1b2	87	97	61	79	73	39
Snora41	10	9	6	0	3	2
Gpr1	3	2	3	5	1	4
Zdbf2	807	1000	774	549	277	319
1700039I01Rik	0	1	1	0	0	0
Gm11608	1	1	2	1	0	0
Gm35393	0	0	0	0	0	0
Adam23	366	516	469	373	543	469
Gm39653	0	0	0	1	0	0
Dytn	0	1	0	1	0	0
Mdh1b	2	0	1	0	1	1
Fastkd2	26	31	38	31	34	26
4933402D24Rik	0	4	4	1	0	5
Cpo	0	0	0	0	0	0
Gm13749	0	3	0	0	0	0
Klf7	78	80	105	76	103	97
Mir6899	1	0	0	0	1	1
Gm35880	0	0	0	0	0	0
Gm39654	0	0	0	0	0	0
Gm35803	0	0	0	0	0	0
Gm36148	2	6	5	3	12	4
Creb1	116	141	152	122	99	100
Mettl21a	20	26	30	13	23	15
Gm29152	0	0	0	0	1	1
2810408I11Rik	0	0	0	0	0	1
Ccnyl1	11	23	37	26	55	40
Fzd5	10	11	13	6	13	3
Plekhm3	63	87	115	86	98	90
Akr1cl	0	0	0	0	0	0
Cryge	0	0	0	0	0	0
Crygd	0	0	0	0	0	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	0	0	2
D630023F18Rik	5	10	5	3	0	3
Gm36358	0	3	5	6	0	0
Idh1	25	26	22	10	16	19
Pikfyve	128	132	177	125	156	147
Pth2r	5	6	5	3	3	10
Crygf	0	0	0	0	0	0
Map2	1309	1538	1508	1111	1160	1197
Unc80	424	503	546	409	527	489
Gm39655	2	6	7	6	3	7
Rpe	24	39	49	47	47	60
Kansl1l	65	82	141	105	166	158
LOC108167626	22	45	55	52	90	82
Gm39656	7	9	9	11	21	20
Acadl	14	8	11	10	19	17
Myl1	0	0	0	0	0	0
Lancl1	108	143	134	131	119	128
Cps1	0	0	0	0	0	0
Gm39658	0	0	0	0	0	0
Gm15669	0	0	0	0	0	0
Erbb4	487	571	662	547	343	298
Gm28497	0	0	0	0	1	0
Ikzf2	10	18	16	10	11	5
Gm29822	0	0	0	4	0	0
Spag16	1	0	0	2	0	1
Vwc2l	56	52	70	62	41	30
Gm29906	3	6	1	1	3	3
Bard1	7	6	11	4	8	3
Abca12	1	3	4	2	1	0
Gm39659	0	0	0	0	0	0
Atic	18	24	28	26	13	20
Fn1	1	3	2	0	3	5
Apol7d	0	0	0	0	0	0
LOC108167627	0	0	0	0	0	0
Gm39660	0	0	0	0	0	0
Gm30160	0	0	0	0	0	0
Gm30308	0	0	0	0	0	0
LOC108167354	0	0	0	0	0	0
Gm8883	0	0	0	0	0	0
Gm28818	0	0	0	0	0	0
4933417E11Rik	0	0	0	0	0	0
Gm4319	0	0	0	0	1	0
Mreg	0	0	4	1	1	0
D230017M19Rik	14	17	29	18	27	28
Pecr	4	5	7	4	2	7
Tmem169	16	16	20	20	14	7
Xrcc5	18	24	33	18	27	25
Gm39661	1	1	1	1	0	0
March4	59	48	67	51	64	55
Smarcal1	80	110	132	108	94	83
Gm39662	0	2	2	1	0	0
Ankar	1	0	0	1	0	0
Rpl37a	44	57	56	50	43	36
Gm39663	0	0	0	0	0	0
Gm30788	0	0	0	0	0	0
Gm30847	0	0	0	0	0	0
Igfbp2	3	3	1	1	1	1
Igfbp5	49	49	54	33	70	48
Gm31047	0	0	0	0	0	0
Gm31137	0	0	0	0	0	0
Tnp1	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
Gm31254	0	0	0	0	0	0
Gm29185	0	0	0	0	0	0
Gm31197	0	0	0	0	0	0
Gm31344	0	0	0	0	0	0
Pinc	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0
LOC102633705	0	0	0	0	0	0
6030407O03Rik	0	0	0	0	1	0
Gm29183	0	0	0	0	0	0
Mir6351	0	0	0	0	0	0
Tns1	13	19	25	26	39	23
Gm39664	0	0	2	0	2	1
Gm31637	0	0	0	0	0	0
Rufy4	1	0	0	0	0	0
Cxcr2	0	0	0	0	0	0
Cxcr1	0	0	0	0	0	0
Mir1928	0	0	0	0	0	0
Gm31691	0	0	0	0	0	0
Arpc2	149	187	142	124	165	174
Gpbar1	1	2	0	0	0	0
Aamp	53	75	54	47	46	30
LOC108167628	5	13	14	8	3	5
Pnkd	75	92	98	96	58	71
Tmbim1	10	12	15	9	19	15
Catip	0	0	0	1	1	0
Slc11a1	1	1	0	0	0	1
Ctdsp1	3	4	9	3	6	2
Mir26b	0	0	1	0	0	0
Vil1	0	4	3	2	1	1
Usp37	69	98	96	81	63	83
Cnot9	24	44	45	28	35	26
Plcd4	4	4	5	7	5	8
Zfp142	39	65	58	67	59	62
Bcs1l	15	19	24	18	22	14
Rnf25	25	38	26	29	20	24
Stk36	3	3	6	6	2	3
Ttll4	14	26	33	25	39	36
Cyp27a1	0	0	0	0	0	1
Prkag3	0	0	0	0	0	0
Wnt6	0	0	0	1	0	0
Gm29539	0	0	0	0	0	0
Gm32099	0	0	0	0	0	0
Wnt10a	1	2	1	0	0	0
Gm32275	4	5	11	7	6	5
Gm16582	1	0	3	0	5	1
Cdk5r2	49	56	74	76	97	108
Fev	0	0	0	0	0	0
Cryba2	0	0	0	0	0	0
Mir375	0	0	0	0	0	0
Ccdc108	6	4	3	5	2	4
Ihh	0	0	0	1	0	0
Nhej1	0	1	3	0	2	5
Slc23a3	3	1	0	0	0	1
Cnppd1	15	20	21	12	13	20
Fam134a	114	126	122	103	90	67
Zfand2b	2	5	7	2	2	11
Abcb6	17	19	12	19	6	7
Atg9a	106	95	123	103	105	84
Ankzf1	16	20	23	14	8	20
Glb1l	11	13	17	10	7	14
Stk16	49	78	71	49	56	53
Tuba4a	162	188	175	138	170	165
A630095N17Rik	0	0	1	1	2	0
Dnajb2	15	15	19	13	17	13
Ptprn	471	607	483	460	373	293
Resp18	68	102	55	48	16	24
Dnpep	13	14	20	24	25	13
Des	0	1	1	0	0	1
Gm15179	0	1	0	0	0	0
Speg	49	84	95	112	171	126
Gmppa	10	15	15	13	12	15
Asic4	29	24	37	44	60	44
Gm32506	0	0	4	0	4	4
Chpf	66	78	79	75	67	40
Tmem198	30	24	23	28	26	25
Obsl1	10	12	21	12	12	16
Inha	3	19	25	19	24	21
Stk11ip	15	17	15	14	15	7
Slc4a3	49	72	130	104	110	68
Gm32622	0	0	0	0	0	0
Gm29065	0	0	0	0	0	0
Gm32737	0	0	0	0	0	1
Gm17751	0	0	0	0	0	0
Mir6343	0	0	0	0	0	0
Epha4	387	499	383	347	358	327
Mir6352	0	0	1	1	1	1
Gm32793	3	10	0	0	1	3
Gm32974	1	1	1	1	0	0
Gm33083	0	0	1	0	0	0
Gm33030	0	0	0	0	0	0
Pax3	0	0	0	0	0	0
Gm33152	0	0	0	0	0	0
Gm2102	0	0	0	0	1	0
Sgpp2	13	6	16	26	36	23
Farsb	74	80	93	58	76	62
Mogat1	0	0	1	1	0	0
Gm39665	0	0	0	0	0	0
LOC108167629	0	0	0	0	0	0
Utp14b	48	52	62	36	41	64
Acsl3	250	268	273	187	160	151
Gm38631	0	2	0	1	2	0
Gm33693	0	0	0	0	0	0
Gm29536	0	0	0	0	0	0
Kcne4	0	0	0	0	0	0
Scg2	789	875	1017	706	474	367
Ap1s3	5	3	5	2	0	6
